region,sector,subsector,technology,output,year,physical-output,gr_rand,gr_cumul,adj,target
USA,trn_pass_road,Bus,BEV,trn_pass_road,2020,0,0.642511453,0.642511453,656.528589,421.8271374
USA,trn_pass_road,Bus,BEV,trn_pass_road,2025,6565.28589,1.20654643,0.775219899,656.528589,7074.239917
USA,trn_pass_road,Bus,BEV,trn_pass_road,2030,28250.07427,0.577159516,0.447425542,656.528589,28543.82193
USA,trn_pass_road,Bus,BEV,trn_pass_road,2035,78085.38689,1.216820479,0.544436562,656.528589,78442.82506
USA,trn_pass_road,Bus,BEV,trn_pass_road,2040,118091.0298,0.608140225,0.331093773,656.528589,118308.4024
USA,trn_pass_road,Bus,BEV,trn_pass_road,2045,137705.0022,1.217164547,0.402995603,656.528589,137969.5803
USA,trn_pass_road,Bus,BEV,trn_pass_road,2050,150969.4631,1.20890737,0.487184354,656.528589,151289.3135
USA,trn_pass_road,Bus,BEV,trn_pass_road,2055,148865.6224,0.682703722,0.332602572,656.528589,149083.9855
USA,trn_pass_road,Bus,BEV,trn_pass_road,2060,147316.1524,1.001202171,0.333002417,656.528589,147534.778
USA,trn_pass_road,Bus,BEV,trn_pass_road,2065,145434.8621,1.103670849,0.36752506,656.528589,145676.1528
USA,trn_pass_road,Bus,BEV,trn_pass_road,2070,143703.058,0.862612415,0.31703168,656.528589,143911.1983
USA,trn_pass_road,Bus,BEV,trn_pass_road,2075,141961.032,1.071956756,0.339844251,656.528589,142184.1495
USA,trn_pass_road,Bus,BEV,trn_pass_road,2080,139888.3976,0.936521615,0.318271487,656.528589,140097.352
USA,trn_pass_road,Bus,BEV,trn_pass_road,2085,137322.2138,1.178796989,0.375177471,656.528589,137568.5285
USA,trn_pass_road,Bus,BEV,trn_pass_road,2090,134328.1568,1.218079069,0.456995824,656.528589,134628.1876
USA,trn_pass_road,Bus,BEV,trn_pass_road,2095,131181.2809,1.05272562,0.481091212,656.528589,131497.131
USA,trn_pass_road,Bus,BEV,trn_pass_road,2100,128075.3917,1.135107982,0.546090475,656.528589,128433.9157
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2020,0,0.626500685,0.626500685,2555.47213,1601.00504
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2025,25554.7213,0.873958589,0.547535655,2555.47213,26953.9334
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2030,40750.10791,1.428777358,0.782306546,2555.47213,42749.27049
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2035,44968.31113,0.624327237,0.488415285,2555.47213,46216.44278
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2040,49035.09316,1.321027877,0.645210207,2555.47213,50683.90986
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2045,52925.14839,0.950872143,0.613512412,2555.47213,54492.96227
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2050,56709.90662,0.579195129,0.355343401,2555.47213,57617.97677
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2055,60797.24073,0.660775004,0.234802037,2555.47213,61397.27079
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2060,65195.84406,0.596922085,0.140158522,2555.47213,65554.01525
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2065,69652.89273,0.798309874,0.111889932,2555.47213,69938.82433
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2070,74093.76555,1.386241602,0.155106478,2555.47213,74490.13583
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2075,78499.95795,1.251487564,0.194113829,2555.47213,78996.01043
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2080,82780.72732,1.358621774,0.263727274,2555.47213,83454.67502
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2085,87011.57025,1.037332853,0.273572966,2555.47213,87710.67834
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2090,91162.33979,1.4593298,0.399233181,2555.47213,92182.56906
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2095,95226.33289,0.661486487,0.264087355,2555.47213,95901.20077
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2100,98075.88707,1.026260921,0.271022532,2555.47213,98768.4776
USA,trn_pass_road_LDV_4W,Car,BEV,trn_pass_road_LDV_4W,2020,0,1.139819871,1.139819871,16309.63232,18590.04302
USA,trn_pass_road_LDV_4W,Car,BEV,trn_pass_road_LDV_4W,2025,163096.3232,1.228840153,1.400656425,16309.63232,185940.5145
USA,trn_pass_road_LDV_4W,Car,BEV,trn_pass_road_LDV_4W,2030,672214.2455,1.404181414,1.966775719,16309.63232,704291.6344
USA,trn_pass_road_LDV_4W,Car,BEV,trn_pass_road_LDV_4W,2035,1066699.472,1.353319098,2.661675143,16309.63232,1110110.415
USA,trn_pass_road_LDV_4W,Car,BEV,trn_pass_road_LDV_4W,2040,1368973.151,0.554632456,1.476251421,16309.63232,1393050.269
