region,sector,subsector,technology,output,year,target
USA,trn_pass_road,Bus,BEV,trn_pass_road,2020,421.8271374
USA,trn_pass_road,Bus,BEV,trn_pass_road,2025,7074.239917
USA,trn_pass_road,Bus,BEV,trn_pass_road,2030,28543.82193
USA,trn_pass_road,Bus,BEV,trn_pass_road,2035,78442.82506
USA,trn_pass_road,Bus,BEV,trn_pass_road,2040,118308.4024
USA,trn_pass_road,Bus,BEV,trn_pass_road,2045,137969.5803
USA,trn_pass_road,Bus,BEV,trn_pass_road,2050,151289.3135
USA,trn_pass_road,Bus,BEV,trn_pass_road,2055,149083.9855
USA,trn_pass_road,Bus,BEV,trn_pass_road,2060,147534.778
USA,trn_pass_road,Bus,BEV,trn_pass_road,2065,145676.1528
USA,trn_pass_road,Bus,BEV,trn_pass_road,2070,143911.1983
USA,trn_pass_road,Bus,BEV,trn_pass_road,2075,142184.1495
USA,trn_pass_road,Bus,BEV,trn_pass_road,2080,140097.352
USA,trn_pass_road,Bus,BEV,trn_pass_road,2085,137568.5285
USA,trn_pass_road,Bus,BEV,trn_pass_road,2090,134628.1876
USA,trn_pass_road,Bus,BEV,trn_pass_road,2095,131497.131
USA,trn_pass_road,Bus,BEV,trn_pass_road,2100,128433.9157
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2020,1601.00504
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2025,26953.9334
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2030,42749.27049
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2035,46216.44278
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2040,50683.90986
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2045,54492.96227
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2050,57617.97677
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2055,61397.27079
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2060,65554.01525
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2065,69938.82433
USA,trn_pass_road_LDV,2W and 3W,BEV,trn_pass_road_LDV,2070,74490.13583
